,TIME,KILLER,DEAD,KILL_METHOD,CURRENT_STATUS
760,23:49.00,DrDisRespect,RSGJeg_Porkins,weapon,dead
761,23:50.00,DrDisRespect,RSG] Jeg_Porkins,weapon,dead
762,23:51.00,DrDisRespect,RSG Jeg_Porkins,weapon,dead
763,23:51.00,DrDisRespect,RSG Jeg Porkins,weapon,dead
764,24:19.00,WWIW420nk,MichelDouglas,weapon,dead
765,24:19.00,WW W420nk,MichelDouglas,weapon,dead
766,24:20.00,WI.W420n,MichelDouglas,weapon,dead
767,24:21.00,WW|W420nk,MichelDouglas,weapon,dead
768,24:21.00,W420n,MichelDouglas,weapon,dead
769,24:23.00,wwl.W420nl,MichelDoualas,weapon,dead
770,24:23.00,NAADn,MichelDouglas,weapon,dead
771,24:24.00,W420n,MichelDouglas,weapon,dead
772,24:25.00,WWW420nk,MichelDouglas,weapon,dead
773,25:3.00,Cleansanch,W420n,weapon,dead
774,25:4.00,Cleansanch,W420n,weapon,dead
775,25:5.00,Cleansanch,W420nk,weapon,dead
776,25:5.00,Cleansanch,WW W420nk,weapon,dead
777,25:6.00,Cleansanch,WW W420nk,weapon,dead
778,25:7.00,Cleansanch,WW W420nk,weapon,dead
779,25:7.00,Cleansanch,WW W420nk,weapon,dead
780,25:8.00,Cleansanch,W420nk,weapon,dead
781,25:9.00,Cleansanch,W420nk,weapon,dead
782,25:9.00,Cleansanch,W420nk,weapon,dead
